Release 6.1.03i - Par G.26
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Tue Mar 09 01:26:30 2004


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       Tunnel_map.ncd
OUTPUT FILE:      Tunnel_pad.csv
PART TYPE:        xc2s100
SPEED GRADE:      -6
PACKAGE:          tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
P1,,,VCCO,,,0,,,,,3.30,,
P2,,,TCK,,,,,,,,,,
P3,,IOB,,UNUSED,,0,,,,,,,
P4,right,IOB,,INPUT,LVTTL,0,,,,NONE,,,
P5,left,IOB,IO_VREF_0,INPUT,LVTTL,0,,,,NONE,,,
P6,rst,IOB,IO_VREF_0,INPUT,LVTTL,0,,,,NONE,,,
P7,ewrite,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
P8,,,GND,,,,,,,,,,
P9,,,VCCINT,,,,,,,,2.5,,
P10,topready,IOB,,INPUT,LVTTL,0,,,,NONE,,,
P11,bramdata<7>,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
P12,enable,IOB,IO_VREF_0,INPUT,LVTTL,0,,,,NONE,,,
P13,score3<1>,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
P14,,,VCCINT,,,,,,,,2.5,,
P15,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,
P16,,,VCCO,,,0,,,,,3.30,,
P17,,,GND,,,,,,,,,,
P18,,GCLKIOB,GCK2,UNUSED,,(0,1)***,,,,,,,
P19,oldata<1>,IOB,,INPUT,LVTTL,(0,1)***,,,,IFD,,,
P20,oldata<0>,IOB,,INPUT,LVTTL,(0,1)***,,,,IFD,,,
P21,ymap<5>,IOB,IO_VREF_1,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P22,score2<0>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P23,score2<2>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P24,,,VCCINT,,,,,,,,2.5,,
P25,,,GND,,,,,,,,,,
P26,score2<3>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P27,score2<1>,IOB,IO_VREF_1,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P28,score1<1>,IOB,IO_VREF_1,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P29,score1<3>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P30,,IOB,IO_WRITE,UNUSED,,(0,1)***,,,,,,,
P31,,IOB,IO_CS,UNUSED,,(0,1)***,,,,,,,
P32,,,TDI,,,,,,,,,,
P33,,,GND,,,,,,,,,,
P34,,,TDO,,,,,,,,,,
P35,,,VCCO,,,0,,,,,3.30,,
P36,,,VCCO,,,1,,,,,3.30,,
P37,,,CCLK,,,,,,,,,,
P38,,IOB,IO_DOUT_BUSY,UNUSED,,(1,2)***,,,,,,,
P39,,IOB,IO_DIN_D0,UNUSED,,(1,2)***,,,,,,,
P40,bramdata<1>,IOB,,OUTPUT,LVTTL,(1,2)***,12,SLOW,NONE**,,,,
P41,bramdata<0>,IOB,IO_VREF_2,OUTPUT,LVTTL,(1,2)***,12,SLOW,NONE**,,,,
P42,,IOB,,UNUSED,,(1,2)***,,,,,,,
P43,,IOB,IO_VREF_2,UNUSED,,(1,2)***,,,,,,,
P44,,IOB,IO_D1,UNUSED,,(1,2)***,,,,,,,
P45,,,GND,,,,,,,,,,
P46,,IOB,IO_D2,UNUSED,,(1,2)***,,,,,,,
P47,,IOB,,UNUSED,,(1,2)***,,,,,,,
P48,,IOB,IO_VREF_2,UNUSED,,(1,2)***,,,,,,,
P49,,IOB,IO_D3,UNUSED,,(1,2)***,,,,,,,
P50,,IOB,,UNUSED,,(1,2)***,,,,,,,
P51,,PCIIOB,IO_IRDY,UNUSED,,(1,2)***,,,,,,,
P52,,,GND,,,,,,,,,,
P53,,,VCCO,,,1,,,,,3.30,,
P54,,PCIIOB,IO_TRDY,UNUSED,,(1,3)***,,,,,,,
P55,,,VCCINT,,,,,,,,2.5,,
P56,,IOB,,UNUSED,,(1,3)***,,,,,,,
P57,,IOB,IO_D4,UNUSED,,(1,3)***,,,,,,,
P58,,IOB,IO_VREF_3,UNUSED,,(1,3)***,,,,,,,
P59,,IOB,,UNUSED,,(1,3)***,,,,,,,
P60,,IOB,IO_D5,UNUSED,,(1,3)***,,,,,,,
P61,,,GND,,,,,,,,,,
P62,,IOB,IO_D6,UNUSED,,(1,3)***,,,,,,,
P63,,IOB,IO_VREF_3,UNUSED,,(1,3)***,,,,,,,
P64,,IOB,,UNUSED,,(1,3)***,,,,,,,
P65,,IOB,IO_VREF_3,UNUSED,,(1,3)***,,,,,,,
P66,,IOB,,UNUSED,,(1,3)***,,,,,,,
P67,,IOB,IO_D7,UNUSED,,(1,3)***,,,,,,,
P68,,IOB,IO_INIT,UNUSED,,(1,3)***,,,,,,,
P69,,,PROGRAM,,,,,,,,,,
P70,,,VCCO,,,1,,,,,3.30,,
P71,,,VCCO,,,2,,,,,3.30,,
P72,,,DONE,,,,,,,,,,
P73,,,GND,,,,,,,,,,
P74,,IOB,,UNUSED,,(2,4)***,,,,,,,
P75,,IOB,,UNUSED,,(2,4)***,,,,,,,
P76,speed,IOB,,INPUT,LVTTL,(2,4)***,,,,NONE,,,
P77,mult,IOB,IO_VREF_4,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P78,crashed,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P79,bramdata<10>,IOB,IO_VREF_4,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P80,bramdata<8>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P81,,,GND,,,,,,,,,,
P82,,,VCCINT,,,,,,,,2.5,,
P83,bramdata<5>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P84,bramdata<4>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P85,bramdata<9>,IOB,IO_VREF_4,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P86,bramdata<3>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P87,bramdata<13>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P88,,GCLKIOB,GCK0,UNUSED,,(2,4)***,,,,,,,
P89,,,GND,,,,,,,,,,
P90,,,VCCO,,,2,,,,,3.30,,
P91,clk,GCLKIOB,GCK1,INPUT,LVTTL,(2,5)***,,,,,,,
P92,,,VCCINT,,,,,,,,2.5,,
P93,bramdata<6>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P94,ymap<4>,IOB,IO_VREF_5,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P95,bramdata<14>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P96,ymap<1>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P97,,,VCCINT,,,,,,,,2.5,,
P98,,,GND,,,,,,,,,,
P99,score3<0>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P100,score3<2>,IOB,IO_VREF_5,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P101,score3<3>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P102,score1<0>,IOB,IO_VREF_5,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
