Release 6.1.03i - Par G.26
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Tue Mar 09 21:35:11 2004


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       sync_gen50_map.ncd
OUTPUT FILE:      sync_gen50_pad.csv
PART TYPE:        xc2s100
SPEED GRADE:      -6
PACKAGE:          tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
P1,,,VCCO,,,0,,,,,na,,
P2,,,TCK,,,,,,,,,,
P3,,IOB,,UNUSED,,0,,,,,,,
P4,,IOB,,UNUSED,,0,,,,,,,
P5,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P6,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P7,,IOB,,UNUSED,,0,,,,,,,
P8,,,GND,,,,,,,,,,
P9,,,VCCINT,,,,,,,,2.5,,
P10,,IOB,,UNUSED,,0,,,,,,,
P11,,IOB,,UNUSED,,0,,,,,,,
P12,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P13,,IOB,,UNUSED,,0,,,,,,,
P14,,,VCCINT,,,,,,,,2.5,,
P15,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,
P16,,,VCCO,,,0,,,,,na,,
P17,,,GND,,,,,,,,,,
P18,,GCLKIOB,GCK2,UNUSED,,(0,1)***,,,,,,,
P19,,IOB,,UNUSED,,(0,1)***,,,,,,,
P20,,IOB,,UNUSED,,(0,1)***,,,,,,,
P21,,IOB,IO_VREF_1,UNUSED,,(0,1)***,,,,,,,
P22,,IOB,,UNUSED,,(0,1)***,,,,,,,
P23,,IOB,,UNUSED,,(0,1)***,,,,,,,
P24,,,VCCINT,,,,,,,,2.5,,
P25,,,GND,,,,,,,,,,
P26,,IOB,,UNUSED,,(0,1)***,,,,,,,
P27,,IOB,IO_VREF_1,UNUSED,,(0,1)***,,,,,,,
P28,,IOB,IO_VREF_1,UNUSED,,(0,1)***,,,,,,,
P29,,IOB,,UNUSED,,(0,1)***,,,,,,,
P30,,IOB,IO_WRITE,UNUSED,,(0,1)***,,,,,,,
P31,,IOB,IO_CS,UNUSED,,(0,1)***,,,,,,,
P32,,,TDI,,,,,,,,,,
P33,,,GND,,,,,,,,,,
P34,,,TDO,,,,,,,,,,
P35,,,VCCO,,,0,,,,,na,,
P36,,,VCCO,,,1,,,,,na,,
P37,,,CCLK,,,,,,,,,,
P38,,IOB,IO_DOUT_BUSY,UNUSED,,(1,2)***,,,,,,,
P39,,IOB,IO_DIN_D0,UNUSED,,(1,2)***,,,,,,,
P40,,IOB,,UNUSED,,(1,2)***,,,,,,,
P41,,IOB,IO_VREF_2,UNUSED,,(1,2)***,,,,,,,
P42,,IOB,,UNUSED,,(1,2)***,,,,,,,
P43,,IOB,IO_VREF_2,UNUSED,,(1,2)***,,,,,,,
P44,,IOB,IO_D1,UNUSED,,(1,2)***,,,,,,,
P45,,,GND,,,,,,,,,,
P46,,IOB,IO_D2,UNUSED,,(1,2)***,,,,,,,
P47,,IOB,,UNUSED,,(1,2)***,,,,,,,
P48,,IOB,IO_VREF_2,UNUSED,,(1,2)***,,,,,,,
P49,,IOB,IO_D3,UNUSED,,(1,2)***,,,,,,,
P50,,IOB,,UNUSED,,(1,2)***,,,,,,,
P51,,PCIIOB,IO_IRDY,UNUSED,,(1,2)***,,,,,,,
P52,,,GND,,,,,,,,,,
P53,,,VCCO,,,1,,,,,na,,
P54,,PCIIOB,IO_TRDY,UNUSED,,(1,3)***,,,,,,,
P55,,,VCCINT,,,,,,,,2.5,,
P56,,IOB,,UNUSED,,(1,3)***,,,,,,,
P57,,IOB,IO_D4,UNUSED,,(1,3)***,,,,,,,
P58,,IOB,IO_VREF_3,UNUSED,,(1,3)***,,,,,,,
P59,,IOB,,UNUSED,,(1,3)***,,,,,,,
P60,,IOB,IO_D5,UNUSED,,(1,3)***,,,,,,,
P61,,,GND,,,,,,,,,,
P62,,IOB,IO_D6,UNUSED,,(1,3)***,,,,,,,
P63,,IOB,IO_VREF_3,UNUSED,,(1,3)***,,,,,,,
P64,,IOB,,UNUSED,,(1,3)***,,,,,,,
P65,,IOB,IO_VREF_3,UNUSED,,(1,3)***,,,,,,,
P66,,IOB,,UNUSED,,(1,3)***,,,,,,,
P67,,IOB,IO_D7,UNUSED,,(1,3)***,,,,,,,
P68,,IOB,IO_INIT,UNUSED,,(1,3)***,,,,,,,
P69,,,PROGRAM,,,,,,,,,,
P70,,,VCCO,,,1,,,,,na,,
P71,,,VCCO,,,2,,,,,na,,
P72,,,DONE,,,,,,,,,,
P73,,,GND,,,,,,,,,,
P74,,IOB,,UNUSED,,(2,4)***,,,,,,,
P75,,IOB,,UNUSED,,(2,4)***,,,,,,,
P76,,IOB,,UNUSED,,(2,4)***,,,,,,,
